timestamp,cattle_id,pen_id,zone,behavior_state,health_state,pos_x_m,pos_y_m,body_weight_kg,feed_intake_kg,water_intake_L,heat_load_index,stress_score,rfid_ping,ambient_temp_C,relative_humidity_pct,wind_speed_ms,solar_radiation_Wm2,thi_index,step_count,mqtt_topic
7/1/2025 6:00,TAG_1001,PEN_A,OPEN_AREA,RESTING,SUSCEPTIBLE,18.49,24.77,525.2,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/A/cattle/TAG_1001/telemetry
7/1/2025 6:00,TAG_1002,PEN_A,OPEN_AREA,RESTING,SUSCEPTIBLE,13.99,7.61,462.4,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/A/cattle/TAG_1002/telemetry
7/1/2025 6:00,TAG_1003,PEN_A,OPEN_AREA,SOCIAL_CLUSTERING,SUSCEPTIBLE,11.74,18.28,476.5,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/A/cattle/TAG_1003/telemetry
7/1/2025 6:00,TAG_1004,PEN_A,OPEN_AREA,SOCIAL_CLUSTERING,SUSCEPTIBLE,11.89,14.27,589.6,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/A/cattle/TAG_1004/telemetry
7/1/2025 6:00,TAG_1005,PEN_A,OPEN_AREA,FEEDING,SUSCEPTIBLE,0.36,26.96,481.9,11.27,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/A/cattle/TAG_1005/telemetry
7/1/2025 6:00,TAG_1006,PEN_A,OPEN_AREA,FEEDING,SUSCEPTIBLE,6.16,27.26,383,8.56,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/A/cattle/TAG_1006/telemetry
7/1/2025 6:00,TAG_1007,PEN_A,OPEN_AREA,WALKING,SUSCEPTIBLE,12.76,20.21,389.3,0,0,95.03,0,0,40,61.8,1.8,0,34.64,7,feedlot/PEN/A/cattle/TAG_1007/telemetry
7/1/2025 6:00,TAG_1008,PEN_A,OPEN_AREA,FEEDING,SUSCEPTIBLE,14.45,25.68,349.3,7.98,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/A/cattle/TAG_1008/telemetry
7/1/2025 6:00,TAG_1009,PEN_A,OPEN_AREA,SOCIAL_CLUSTERING,SUSCEPTIBLE,9.48,12.12,305.2,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/A/cattle/TAG_1009/telemetry
7/1/2025 6:00,TAG_1010,PEN_A,OPEN_AREA,SOCIAL_CLUSTERING,SUSCEPTIBLE,11.41,14.36,427.1,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/A/cattle/TAG_1010/telemetry
7/1/2025 6:00,TAG_1011,PEN_B,OPEN_AREA,SOCIAL_CLUSTERING,SUSCEPTIBLE,35.78,16.56,418.2,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/B/cattle/TAG_1011/telemetry
7/1/2025 6:00,TAG_1012,PEN_B,OPEN_AREA,RESTING,SUSCEPTIBLE,37.24,9.28,388.6,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/B/cattle/TAG_1012/telemetry
7/1/2025 6:00,TAG_1013,PEN_B,OPEN_AREA,RESTING,SUSCEPTIBLE,27.9,13.78,304.6,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/B/cattle/TAG_1013/telemetry
7/1/2025 6:00,TAG_1014,PEN_B,OPEN_AREA,FEEDING,SUSCEPTIBLE,35.03,28.79,360,9.69,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/B/cattle/TAG_1014/telemetry
7/1/2025 6:00,TAG_1015,PEN_B,OPEN_AREA,FEEDING,SUSCEPTIBLE,32.51,24.56,513.8,13.51,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/B/cattle/TAG_1015/telemetry
7/1/2025 6:00,TAG_1016,PEN_B,OPEN_AREA,FEEDING,SUSCEPTIBLE,30.73,27.54,536.6,12.46,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/B/cattle/TAG_1016/telemetry
7/1/2025 6:00,TAG_1017,PEN_B,OPEN_AREA,RESTING,SUSCEPTIBLE,42.32,8.62,481.4,0,0,95.03,0,0,40,61.8,1.8,0,34.64,0,feedlot/PEN/B/cattle/TAG_1017/telemetry
